3998|4001|bct|hill|0,0,50,70|3998x4001|x=3998&y=4001&re=bct
3998|4001|bct|road|t|3998x4001|x=3998&y=4001&re=bct
3998|4001|bct|road|tb|3998x4001|x=3998&y=4001&re=bct
3998|4001|bct|road|ta|3998x4001|x=3998&y=4001&re=bct
3998|4001|bct|road|b|3998x4001|x=3998&y=4001&re=bct
3998|4001|bct|road|bb|3998x4001|x=3998&y=4001&re=bct
3998|4001|bct|road|ba|3998x4001|x=3998&y=4001&re=bct
3998|4001|bct|road|l|3998x4001|x=3998&y=4001&re=bct
3998|4001|bct|road|lb|3998x4001|x=3998&y=4001&re=bct
3998|4001|bct|road|la|3998x4001|x=3998&y=4001&re=bct
3998|4001|bct|road|r|3998x4001|x=3998&y=4001&re=bct
3998|4001|bct|road|rb|3998x4001|x=3998&y=4001&re=bct
3998|4001|bct|road|ra|3998x4001|x=3998&y=4001&re=bct
3998|4002|bct|hill|0,0,50,70|3998x4002|x=3998&y=4002&re=bct
3998|4002|bct|hill|97,27,-9,-9|3998x4002|x=3998&y=4002&re=bct
3998|4002|bct|road|t|3998x4002|x=3998&y=4002&re=bct
3998|4002|bct|road|tb|3998x4002|x=3998&y=4002&re=bct
3998|4002|bct|road|ta|3998x4002|x=3998&y=4002&re=bct
3998|4002|bct|road|b|3998x4002|x=3998&y=4002&re=bct
3998|4002|bct|road|bb|3998x4002|x=3998&y=4002&re=bct
3998|4002|bct|road|ba|3998x4002|x=3998&y=4002&re=bct
3998|4002|bct|road|l|3998x4002|x=3998&y=4002&re=bct
3998|4002|bct|road|lb|3998x4002|x=3998&y=4002&re=bct
3998|4002|bct|road|la|3998x4002|x=3998&y=4002&re=bct
3998|4002|bct|road|r|3998x4002|x=3998&y=4002&re=bct
3998|4002|bct|road|rb|3998x4002|x=3998&y=4002&re=bct
3998|4002|bct|road|ra|3998x4002|x=3998&y=4002&re=bct
3999|3998|bct|hill|0,0,50,70|3999x3998|x=3999&y=3998&re=bct
3999|3998|bct|hill|107,37,16,16|3999x3998|x=3999&y=3998&re=bct
3999|3998|bct|road|t|3999x3998|x=3999&y=3998&re=bct
3999|3998|bct|road|tb|3999x3998|x=3999&y=3998&re=bct
3999|3998|bct|road|ta|3999x3998|x=3999&y=3998&re=bct
3999|3998|bct|road|b|3999x3998|x=3999&y=3998&re=bct
3999|3998|bct|road|bb|3999x3998|x=3999&y=3998&re=bct
3999|3998|bct|road|ba|3999x3998|x=3999&y=3998&re=bct
3999|3998|bct|road|l|3999x3998|x=3999&y=3998&re=bct
3999|3998|bct|road|lb|3999x3998|x=3999&y=3998&re=bct
3999|3998|bct|road|la|3999x3998|x=3999&y=3998&re=bct
3999|3998|bct|road|r|3999x3998|x=3999&y=3998&re=bct
3999|3998|bct|road|rb|3999x3998|x=3999&y=3998&re=bct
3999|3998|bct|road|ra|3999x3998|x=3999&y=3998&re=bct
3999|3999|bct|hill|47,93,50,70|3999x3999|x=3999&y=3999&re=bct
3999|3999|bct|hill|0,0,50,70|3999x3999|x=3999&y=3999&re=bct
3999|3999|bct|hill|0,0,50,70|3999x3999|x=3999&y=3999&re=bct
3999|3999|bct|hill|0,0,50,70|3999x3999|x=3999&y=3999&re=bct
3999|3999|bct|hill|57,57,32,32|3999x3999|x=3999&y=3999&re=bct
3999|3999|bct|road|t|3999x3999|x=3999&y=3999&re=bct
3999|3999|bct|road|tb|3999x3999|x=3999&y=3999&re=bct
3999|3999|bct|road|ta|3999x3999|x=3999&y=3999&re=bct
3999|3999|bct|road|b|3999x3999|x=3999&y=3999&re=bct
3999|3999|bct|road|bb|3999x3999|x=3999&y=3999&re=bct
3999|3999|bct|road|ba|3999x3999|x=3999&y=3999&re=bct
3999|3999|bct|road|l|3999x3999|x=3999&y=3999&re=bct
3999|3999|bct|road|lb|3999x3999|x=3999&y=3999&re=bct
3999|3999|bct|road|la|3999x3999|x=3999&y=3999&re=bct
3999|3999|bct|road|r|3999x3999|x=3999&y=3999&re=bct
3999|3999|bct|road|rb|3999x3999|x=3999&y=3999&re=bct
3999|3999|bct|road|ra|3999x3999|x=3999&y=3999&re=bct
3999|4000|bct|hill|0,0,50,70|3999x4000|x=3999&y=4000&re=bct
3999|4000|bct|hill|0,140,50,70|3999x4000|x=3999&y=4000&re=bct
3999|4000|bct|hill|0,0,50,70|3999x4000|x=3999&y=4000&re=bct
3999|4000|bct|hill|0,0,50,70|3999x4000|x=3999&y=4000&re=bct
3999|4000|bct|hill|0,0,50,70|3999x4000|x=3999&y=4000&re=bct
3999|4000|bct|hill|0,0,50,70|3999x4000|x=3999&y=4000&re=bct
3999|4000|bct|hill|0,0,50,70|3999x4000|x=3999&y=4000&re=bct
3999|4000|bct|hill|0,0,50,70|3999x4000|x=3999&y=4000&re=bct
3999|4000|bct|hill|59,59,13,13|3999x4000|x=3999&y=4000&re=bct
3999|4000|bct|river|v|3999x4000|x=3999&y=4000&re=bct
3999|4000|bct|road|t|3999x4000|x=3999&y=4000&re=bct
3999|4000|bct|road|tb|3999x4000|x=3999&y=4000&re=bct
3999|4000|bct|road|ta|3999x4000|x=3999&y=4000&re=bct
3999|4000|bct|road|b|3999x4000|x=3999&y=4000&re=bct
3999|4000|bct|road|bb|3999x4000|x=3999&y=4000&re=bct
3999|4000|bct|road|ba|3999x4000|x=3999&y=4000&re=bct
3999|4000|bct|road|l|3999x4000|x=3999&y=4000&re=bct
3999|4000|bct|road|lb|3999x4000|x=3999&y=4000&re=bct
3999|4000|bct|road|la|3999x4000|x=3999&y=4000&re=bct
3999|4000|bct|road|r|3999x4000|x=3999&y=4000&re=bct
3999|4000|bct|road|rb|3999x4000|x=3999&y=4000&re=bct
3999|4000|bct|road|ra|3999x4000|x=3999&y=4000&re=bct
3999|4001|bct|hill|0,0,50,70|3999x4001|x=3999&y=4001&re=bct
3999|4001|bct|hill|0,140,50,70|3999x4001|x=3999&y=4001&re=bct
3999|4001|bct|hill|0,0,50,70|3999x4001|x=3999&y=4001&re=bct
3999|4001|bct|hill|0,0,50,70|3999x4001|x=3999&y=4001&re=bct
3999|4001|bct|hill|0,0,50,70|3999x4001|x=3999&y=4001&re=bct
3999|4001|bct|hill|0,0,50,70|3999x4001|x=3999&y=4001&re=bct
3999|4001|bct|hill|0,0,50,70|3999x4001|x=3999&y=4001&re=bct
3999|4001|bct|hill|0,0,50,70|3999x4001|x=3999&y=4001&re=bct
3999|4001|bct|hill|0,0,50,70|3999x4001|x=3999&y=4001&re=bct
3999|4001|bct|hill|0,0,50,70|3999x4001|x=3999&y=4001&re=bct
3999|4001|bct|hill|0,0,50,70|3999x4001|x=3999&y=4001&re=bct
3999|4001|bct|hill|0,0,50,70|3999x4001|x=3999&y=4001&re=bct
3999|4001|bct|hill|0,0,50,70|3999x4001|x=3999&y=4001&re=bct
3999|4001|bct|hill|37,107,-3,-3|3999x4001|x=3999&y=4001&re=bct
3999|4001|bct|road|t|3999x4001|x=3999&y=4001&re=bct
3999|4001|bct|road|tb|3999x4001|x=3999&y=4001&re=bct
3999|4001|bct|road|ta|3999x4001|x=3999&y=4001&re=bct
3999|4001|bct|road|b|3999x4001|x=3999&y=4001&re=bct
3999|4001|bct|road|bb|3999x4001|x=3999&y=4001&re=bct
3999|4001|bct|road|ba|3999x4001|x=3999&y=4001&re=bct
3999|4001|bct|road|l|3999x4001|x=3999&y=4001&re=bct
3999|4001|bct|road|lb|3999x4001|x=3999&y=4001&re=bct
3999|4001|bct|road|la|3999x4001|x=3999&y=4001&re=bct
3999|4001|bct|road|r|3999x4001|x=3999&y=4001&re=bct
3999|4001|bct|road|rb|3999x4001|x=3999&y=4001&re=bct
3999|4001|bct|road|ra|3999x4001|x=3999&y=4001&re=bct
3999|4002|bct|hill|0,0,50,70|3999x4002|x=3999&y=4002&re=bct
3999|4002|bct|hill|0,140,50,70|3999x4002|x=3999&y=4002&re=bct
3999|4002|bct|hill|97,113,50,70|3999x4002|x=3999&y=4002&re=bct
3999|4002|bct|hill|0,0,50,70|3999x4002|x=3999&y=4002&re=bct
3999|4002|bct|hill|0,0,50,70|3999x4002|x=3999&y=4002&re=bct
3999|4002|bct|hill|0,0,50,70|3999x4002|x=3999&y=4002&re=bct
3999|4002|bct|hill|0,0,50,70|3999x4002|x=3999&y=4002&re=bct
3999|4002|bct|hill|0,0,50,70|3999x4002|x=3999&y=4002&re=bct
3999|4002|bct|hill|0,0,50,70|3999x4002|x=3999&y=4002&re=bct
3999|4002|bct|hill|0,0,50,70|3999x4002|x=3999&y=4002&re=bct
3999|4002|bct|hill|0,0,50,70|3999x4002|x=3999&y=4002&re=bct
3999|4002|bct|hill|0,0,50,70|3999x4002|x=3999&y=4002&re=bct
3999|4002|bct|hill|0,0,50,70|3999x4002|x=3999&y=4002&re=bct
3999|4002|bct|hill|0,0,50,70|3999x4002|x=3999&y=4002&re=bct
3999|4002|bct|hill|0,0,50,70|3999x4002|x=3999&y=4002&re=bct
3999|4002|bct|hill|0,0,50,70|3999x4002|x=3999&y=4002&re=bct
3999|4002|bct|hill|0,0,50,70|3999x4002|x=3999&y=4002&re=bct
3999|4002|bct|hill|41,111,-10,-10|3999x4002|x=3999&y=4002&re=bct
3999|4002|bct|road|t|3999x4002|x=3999&y=4002&re=bct
3999|4002|bct|road|tb|3999x4002|x=3999&y=4002&re=bct
3999|4002|bct|road|ta|3999x4002|x=3999&y=4002&re=bct
3999|4002|bct|road|b|3999x4002|x=3999&y=4002&re=bct
3999|4002|bct|road|bb|3999x4002|x=3999&y=4002&re=bct
3999|4002|bct|road|ba|3999x4002|x=3999&y=4002&re=bct
3999|4002|bct|road|l|3999x4002|x=3999&y=4002&re=bct
3999|4002|bct|road|lb|3999x4002|x=3999&y=4002&re=bct
3999|4002|bct|road|la|3999x4002|x=3999&y=4002&re=bct
3999|4002|bct|road|r|3999x4002|x=3999&y=4002&re=bct
3999|4002|bct|road|rb|3999x4002|x=3999&y=4002&re=bct
3999|4002|bct|road|ra|3999x4002|x=3999&y=4002&re=bct
4000|3998|bct|hill|0,140,50,70|4000x3998|x=4000&y=3998&re=bct
4000|3998|bct|hill|107,103,50,70|4000x3998|x=4000&y=3998&re=bct
4000|3998|bct|hill|0,0,50,70|4000x3998|x=4000&y=3998&re=bct
4000|3998|bct|hill|0,0,50,70|4000x3998|x=4000&y=3998&re=bct
4000|3998|bct|hill|0,0,50,70|4000x3998|x=4000&y=3998&re=bct
4000|3998|bct|hill|0,0,50,70|4000x3998|x=4000&y=3998&re=bct
4000|3998|bct|hill|0,0,50,70|4000x3998|x=4000&y=3998&re=bct
4000|3998|bct|hill|81,81,8,8|4000x3998|x=4000&y=3998&re=bct
4000|3998|bct|road|t|4000x3998|x=4000&y=3998&re=bct
4000|3998|bct|road|tb|4000x3998|x=4000&y=3998&re=bct
4000|3998|bct|road|ta|4000x3998|x=4000&y=3998&re=bct
4000|3998|bct|road|b|4000x3998|x=4000&y=3998&re=bct
4000|3998|bct|road|bb|4000x3998|x=4000&y=3998&re=bct
4000|3998|bct|road|ba|4000x3998|x=4000&y=3998&re=bct
4000|3998|bct|road|l|4000x3998|x=4000&y=3998&re=bct
4000|3998|bct|road|lb|4000x3998|x=4000&y=3998&re=bct
4000|3998|bct|road|la|4000x3998|x=4000&y=3998&re=bct
4000|3998|bct|road|r|4000x3998|x=4000&y=3998&re=bct
4000|3998|bct|road|rb|4000x3998|x=4000&y=3998&re=bct
4000|3998|bct|road|ra|4000x3998|x=4000&y=3998&re=bct
4000|3999|bct|hill|0,0,50,70|4000x3999|x=4000&y=3999&re=bct
4000|3999|bct|hill|0,0,50,70|4000x3999|x=4000&y=3999&re=bct
4000|3999|bct|hill|47,47,50,70|4000x3999|x=4000&y=3999&re=bct
4000|3999|bct|hill|0,140,50,70|4000x3999|x=4000&y=3999&re=bct
4000|3999|bct|hill|0,140,50,70|4000x3999|x=4000&y=3999&re=bct
4000|3999|bct|hill|0,140,50,70|4000x3999|x=4000&y=3999&re=bct
4000|3999|bct|hill|57,83,50,70|4000x3999|x=4000&y=3999&re=bct
4000|3999|bct|hill|0,0,50,70|4000x3999|x=4000&y=3999&re=bct
4000|3999|bct|hill|0,0,50,70|4000x3999|x=4000&y=3999&re=bct
4000|3999|bct|hill|0,0,50,70|4000x3999|x=4000&y=3999&re=bct
4000|3999|bct|hill|0,0,50,70|4000x3999|x=4000&y=3999&re=bct
4000|3999|bct|hill|0,0,50,70|4000x3999|x=4000&y=3999&re=bct
4000|3999|bct|hill|0,0,50,70|4000x3999|x=4000&y=3999&re=bct
4000|3999|bct|hill|0,0,50,70|4000x3999|x=4000&y=3999&re=bct
4000|3999|bct|hill|0,0,50,70|4000x3999|x=4000&y=3999&re=bct
4000|3999|bct|hill|0,0,50,70|4000x3999|x=4000&y=3999&re=bct
4000|3999|bct|hill|0,0,50,70|4000x3999|x=4000&y=3999&re=bct
4000|3999|bct|hill|0,0,50,70|4000x3999|x=4000&y=3999&re=bct
4000|3999|bct|hill|0,0,50,70|4000x3999|x=4000&y=3999&re=bct
4000|3999|bct|hill|0,0,50,70|4000x3999|x=4000&y=3999&re=bct
4000|3999|bct|hill|0,0,50,70|4000x3999|x=4000&y=3999&re=bct
4000|3999|bct|hill|0,0,50,70|4000x3999|x=4000&y=3999&re=bct
4000|3999|bct|hill|0,0,50,70|4000x3999|x=4000&y=3999&re=bct
4000|3999|bct|hill|0,0,50,70|4000x3999|x=4000&y=3999&re=bct
4000|3999|bct|hill|74,74,-6,-6|4000x3999|x=4000&y=3999&re=bct
4000|3999|bct|road|t|4000x3999|x=4000&y=3999&re=bct
4000|3999|bct|road|tb|4000x3999|x=4000&y=3999&re=bct
4000|3999|bct|road|ta|4000x3999|x=4000&y=3999&re=bct
4000|3999|bct|road|b|4000x3999|x=4000&y=3999&re=bct
4000|3999|bct|road|bb|4000x3999|x=4000&y=3999&re=bct
4000|3999|bct|road|ba|4000x3999|x=4000&y=3999&re=bct
4000|3999|bct|road|l|4000x3999|x=4000&y=3999&re=bct
4000|3999|bct|road|lb|4000x3999|x=4000&y=3999&re=bct
4000|3999|bct|road|la|4000x3999|x=4000&y=3999&re=bct
4000|3999|bct|road|r|4000x3999|x=4000&y=3999&re=bct
4000|3999|bct|road|rb|4000x3999|x=4000&y=3999&re=bct
4000|3999|bct|road|ra|4000x3999|x=4000&y=3999&re=bct
4000|4001|bct|hill|0,0,50,70|4000x4001|x=4000&y=4001&re=bct
4000|4001|bct|hill|0,0,50,70|4000x4001|x=4000&y=4001&re=bct
4000|4001|bct|hill|0,0,50,70|4000x4001|x=4000&y=4001&re=bct
4000|4001|bct|hill|0,0,50,70|4000x4001|x=4000&y=4001&re=bct
4000|4001|bct|hill|0,0,50,70|4000x4001|x=4000&y=4001&re=bct
4000|4001|bct|hill|0,0,50,70|4000x4001|x=4000&y=4001&re=bct
4000|4001|bct|hill|0,0,50,70|4000x4001|x=4000&y=4001&re=bct
4000|4001|bct|hill|0,0,50,70|4000x4001|x=4000&y=4001&re=bct
4000|4001|bct|hill|0,0,50,70|4000x4001|x=4000&y=4001&re=bct
4000|4001|bct|hill|0,140,50,70|4000x4001|x=4000&y=4001&re=bct
4000|4001|bct|hill|0,0,50,70|4000x4001|x=4000&y=4001&re=bct
4000|4001|bct|hill|0,140,50,70|4000x4001|x=4000&y=4001&re=bct
4000|4001|bct|hill|0,140,50,70|4000x4001|x=4000&y=4001&re=bct
4000|4001|bct|hill|0,140,50,70|4000x4001|x=4000&y=4001&re=bct
4000|4001|bct|hill|0,140,50,70|4000x4001|x=4000&y=4001&re=bct
4000|4001|bct|hill|0,140,50,70|4000x4001|x=4000&y=4001&re=bct
4000|4001|bct|hill|0,140,50,70|4000x4001|x=4000&y=4001&re=bct
4000|4001|bct|hill|0,140,50,70|4000x4001|x=4000&y=4001&re=bct
4000|4001|bct|hill|0,140,50,70|4000x4001|x=4000&y=4001&re=bct
4000|4001|bct|hill|0,140,50,70|4000x4001|x=4000&y=4001&re=bct
4000|4001|bct|hill|0,140,50,70|4000x4001|x=4000&y=4001&re=bct
4000|4001|bct|hill|0,140,50,70|4000x4001|x=4000&y=4001&re=bct
4000|4001|bct|hill|37,33,50,70|4000x4001|x=4000&y=4001&re=bct
4000|4001|bct|hill|0,0,50,70|4000x4001|x=4000&y=4001&re=bct
4000|4001|bct|hill|0,0,50,70|4000x4001|x=4000&y=4001&re=bct
4000|4001|bct|hill|0,0,50,70|4000x4001|x=4000&y=4001&re=bct
4000|4001|bct|hill|0,0,50,70|4000x4001|x=4000&y=4001&re=bct
4000|4001|bct|hill|0,0,50,70|4000x4001|x=4000&y=4001&re=bct
4000|4001|bct|hill|0,0,50,70|4000x4001|x=4000&y=4001&re=bct
4000|4001|bct|hill|0,0,50,70|4000x4001|x=4000&y=4001&re=bct
4000|4001|bct|hill|0,0,50,70|4000x4001|x=4000&y=4001&re=bct
4000|4001|bct|hill|0,0,50,70|4000x4001|x=4000&y=4001&re=bct
4000|4001|bct|hill|0,0,50,70|4000x4001|x=4000&y=4001&re=bct
4000|4001|bct|hill|0,0,50,70|4000x4001|x=4000&y=4001&re=bct
4000|4001|bct|hill|0,0,50,70|4000x4001|x=4000&y=4001&re=bct
4000|4001|bct|hill|0,0,50,70|4000x4001|x=4000&y=4001&re=bct
4000|4001|bct|hill|0,0,50,70|4000x4001|x=4000&y=4001&re=bct
4000|4001|bct|hill|0,0,50,70|4000x4001|x=4000&y=4001&re=bct
4000|4001|bct|hill|0,0,50,70|4000x4001|x=4000&y=4001&re=bct
4000|4001|bct|hill|0,0,50,70|4000x4001|x=4000&y=4001&re=bct
4000|4001|bct|hill|0,0,50,70|4000x4001|x=4000&y=4001&re=bct
4000|4001|bct|road|t|4000x4001|x=4000&y=4001&re=bct
4000|4001|bct|road|tb|4000x4001|x=4000&y=4001&re=bct
4000|4001|bct|road|ta|4000x4001|x=4000&y=4001&re=bct
4000|4001|bct|road|b|4000x4001|x=4000&y=4001&re=bct
4000|4001|bct|road|bb|4000x4001|x=4000&y=4001&re=bct
4000|4001|bct|road|ba|4000x4001|x=4000&y=4001&re=bct
4000|4001|bct|road|l|4000x4001|x=4000&y=4001&re=bct
4000|4001|bct|road|lb|4000x4001|x=4000&y=4001&re=bct
4000|4001|bct|road|la|4000x4001|x=4000&y=4001&re=bct
4000|4001|bct|road|r|4000x4001|x=4000&y=4001&re=bct
4000|4001|bct|road|rb|4000x4001|x=4000&y=4001&re=bct
4000|4001|bct|road|ra|4000x4001|x=4000&y=4001&re=bct
4000|4001|bct|road|h|4000x4001|x=4000&y=4001&re=bct
4000|4002|bct|hill|0,0,50,70|4000x4002|x=4000&y=4002&re=bct
4000|4002|bct|hill|0,0,50,70|4000x4002|x=4000&y=4002&re=bct
4000|4002|bct|hill|0,0,50,70|4000x4002|x=4000&y=4002&re=bct
4000|4002|bct|hill|0,0,50,70|4000x4002|x=4000&y=4002&re=bct
4000|4002|bct|hill|0,0,50,70|4000x4002|x=4000&y=4002&re=bct
4000|4002|bct|hill|0,0,50,70|4000x4002|x=4000&y=4002&re=bct
4000|4002|bct|hill|0,0,50,70|4000x4002|x=4000&y=4002&re=bct
4000|4002|bct|hill|0,0,50,70|4000x4002|x=4000&y=4002&re=bct
4000|4002|bct|hill|0,0,50,70|4000x4002|x=4000&y=4002&re=bct
4000|4002|bct|hill|0,0,50,70|4000x4002|x=4000&y=4002&re=bct
4000|4002|bct|hill|0,0,50,70|4000x4002|x=4000&y=4002&re=bct
4000|4002|bct|hill|0,0,50,70|4000x4002|x=4000&y=4002&re=bct
4000|4002|bct|hill|0,0,50,70|4000x4002|x=4000&y=4002&re=bct
4000|4002|bct|hill|0,0,50,70|4000x4002|x=4000&y=4002&re=bct
4000|4002|bct|hill|0,140,50,70|4000x4002|x=4000&y=4002&re=bct
4000|4002|bct|hill|0,0,50,70|4000x4002|x=4000&y=4002&re=bct
4000|4002|bct|hill|97,27,50,70|4000x4002|x=4000&y=4002&re=bct
4000|4002|bct|hill|0,140,50,70|4000x4002|x=4000&y=4002&re=bct
4000|4002|bct|hill|0,140,50,70|4000x4002|x=4000&y=4002&re=bct
4000|4002|bct|hill|0,140,50,70|4000x4002|x=4000&y=4002&re=bct
4000|4002|bct|hill|0,140,50,70|4000x4002|x=4000&y=4002&re=bct
4000|4002|bct|hill|0,140,50,70|4000x4002|x=4000&y=4002&re=bct
4000|4002|bct|hill|0,140,50,70|4000x4002|x=4000&y=4002&re=bct
4000|4002|bct|hill|0,140,50,70|4000x4002|x=4000&y=4002&re=bct
4000|4002|bct|hill|0,140,50,70|4000x4002|x=4000&y=4002&re=bct
4000|4002|bct|hill|0,140,50,70|4000x4002|x=4000&y=4002&re=bct
4000|4002|bct|hill|0,140,50,70|4000x4002|x=4000&y=4002&re=bct
4000|4002|bct|hill|0,140,50,70|4000x4002|x=4000&y=4002&re=bct
4000|4002|bct|hill|0,140,50,70|4000x4002|x=4000&y=4002&re=bct
4000|4002|bct|hill|0,140,50,70|4000x4002|x=4000&y=4002&re=bct
4000|4002|bct|hill|0,140,50,70|4000x4002|x=4000&y=4002&re=bct
4000|4002|bct|hill|41,29,50,70|4000x4002|x=4000&y=4002&re=bct
4000|4002|bct|hill|0,0,50,70|4000x4002|x=4000&y=4002&re=bct
4000|4002|bct|hill|0,0,50,70|4000x4002|x=4000&y=4002&re=bct
4000|4002|bct|hill|0,0,50,70|4000x4002|x=4000&y=4002&re=bct
4000|4002|bct|hill|0,0,50,70|4000x4002|x=4000&y=4002&re=bct
4000|4002|bct|hill|0,0,50,70|4000x4002|x=4000&y=4002&re=bct
4000|4002|bct|hill|0,0,50,70|4000x4002|x=4000&y=4002&re=bct
4000|4002|bct|hill|0,0,50,70|4000x4002|x=4000&y=4002&re=bct
4000|4002|bct|hill|0,0,50,70|4000x4002|x=4000&y=4002&re=bct
4000|4002|bct|hill|0,0,50,70|4000x4002|x=4000&y=4002&re=bct
4000|4002|bct|hill|0,0,50,70|4000x4002|x=4000&y=4002&re=bct
4000|4002|bct|hill|0,0,50,70|4000x4002|x=4000&y=4002&re=bct
4000|4002|bct|hill|0,0,50,70|4000x4002|x=4000&y=4002&re=bct
4000|4002|bct|hill|0,0,50,70|4000x4002|x=4000&y=4002&re=bct
4000|4002|bct|hill|0,0,50,70|4000x4002|x=4000&y=4002&re=bct
4000|4002|bct|hill|0,0,50,70|4000x4002|x=4000&y=4002&re=bct
4000|4002|bct|hill|0,0,50,70|4000x4002|x=4000&y=4002&re=bct
4000|4002|bct|hill|0,0,50,70|4000x4002|x=4000&y=4002&re=bct
4000|4002|bct|hill|0,0,50,70|4000x4002|x=4000&y=4002&re=bct
4000|4002|bct|hill|0,0,50,70|4000x4002|x=4000&y=4002&re=bct
4000|4002|bct|hill|0,0,50,70|4000x4002|x=4000&y=4002&re=bct
4000|4002|bct|hill|0,0,50,70|4000x4002|x=4000&y=4002&re=bct
4000|4002|bct|hill|0,0,50,70|4000x4002|x=4000&y=4002&re=bct
4000|4002|bct|hill|0,0,50,70|4000x4002|x=4000&y=4002&re=bct
4000|4002|bct|hill|0,0,50,70|4000x4002|x=4000&y=4002&re=bct
4000|4002|bct|hill|0,0,50,70|4000x4002|x=4000&y=4002&re=bct
4000|4002|bct|hill|0,0,50,70|4000x4002|x=4000&y=4002&re=bct
4000|4002|bct|hill|0,0,50,70|4000x4002|x=4000&y=4002&re=bct
4000|4002|bct|hill|0,0,50,70|4000x4002|x=4000&y=4002&re=bct
4000|4002|bct|hill|0,0,50,70|4000x4002|x=4000&y=4002&re=bct
4000|4002|bct|hill|0,0,50,70|4000x4002|x=4000&y=4002&re=bct
4000|4002|bct|hill|0,0,50,70|4000x4002|x=4000&y=4002&re=bct
4000|4002|bct|hill|0,0,50,70|4000x4002|x=4000&y=4002&re=bct
4000|4002|bct|hill|0,0,50,70|4000x4002|x=4000&y=4002&re=bct
4000|4002|bct|hill|0,0,50,70|4000x4002|x=4000&y=4002&re=bct
4000|4002|bct|hill|0,0,50,70|4000x4002|x=4000&y=4002&re=bct
4000|4002|bct|hill|0,0,50,70|4000x4002|x=4000&y=4002&re=bct
4000|4002|bct|hill|0,0,50,70|4000x4002|x=4000&y=4002&re=bct
4000|4002|bct|hill|0,0,50,70|4000x4002|x=4000&y=4002&re=bct
4000|4002|bct|hill|0,0,50,70|4000x4002|x=4000&y=4002&re=bct
4000|4002|bct|hill|0,0,50,70|4000x4002|x=4000&y=4002&re=bct
4000|4002|bct|hill|0,0,50,70|4000x4002|x=4000&y=4002&re=bct
4000|4002|bct|hill|52,52,9,9|4000x4002|x=4000&y=4002&re=bct
4000|4002|bct|road|t|4000x4002|x=4000&y=4002&re=bct
4000|4002|bct|road|tb|4000x4002|x=4000&y=4002&re=bct
